id,type,floor,status,installed,desc,location/0,location/1,addedBy
A81758FFFE030F83,Elsys ERS CO2,1,installed,2020-06-06T00:00:00.000Z,Wall against L2 row 9,65.05907,25.46647,jeremias
A81758FFFE031030,Elsys ERS CO2,1,installed,2020-06-06T00:00:00.000Z,Backwall,65.05916,25.46565,jeremias
A81758FFFE031032,Elsys ERS CO2,1,installed,2020-06-06T00:00:00.000Z,Above Inva WC door,65.05774,25.46448,jeremias
A81758FFFE04657D,Elsys ERS Sound,1,installed,2020-06-06T00:00:00.000Z,L8,65.05979,25.46604,jeremias
A81758FFFE030FEC,Elsys ERS CO2,1,installed,2020-06-06T00:00:00.000Z,PR102 above video projector,65.05969,25.46679,jeremias
A81758FFFE030F82,Elsys ERS CO2,-1,installed,2020-06-06T00:00:00.000Z,Above food lines,65.05936,25.46628,jeremias
A81758FFFE030F5A,Elsys ERS CO2,1,installed,2020-06-06T00:00:00.000Z,Cafe hub above the casheer,65.05935,25.46657,jeremias
A81758FFFE031091,Elsys ERS CO2,1,installed,2020-06-06T00:00:00.000Z,Yellow cable channel in front of Humus,65.05849,25.46598,jeremias
A81758FFFE030F7E,Elsys ERS CO2,1,installed,2020-06-06T00:00:00.000Z,In front of dish return station,65.06043,25.46667,jeremias
A81758FFFE03101E,Elsys ERS CO2,1,installed,2020-06-06T00:00:00.000Z,Above Kylymä Inva WC door,65.05790,25.46870,jeremias
A81758FFFE031005,Elsys ERS CO2,1,installed,2020-06-06T00:00:00.000Z,Under bronze University emblem in front of Kastari,65.05701,25.46774,jeremias
A81758FFFE046336,Elsys ERS Sound,4,installed,2020-06-06T00:00:00.000Z,Opposite to double elevator,65.05797,25.46891,jeremias
A81758FFFE04633E,Elsys ERS Sound,1,installed,2020-06-06T00:00:00.000Z,L10,65.05800,25.46674,jeremias
A81758FFFE030D4B,Elsys ERS CO2,1,installed,2020-06-06T00:00:00.000Z,Tellus rail 4 slot 7,65.05867,25.46641,jeremias
A81758FFFE030F4B,Elsys ERS CO2,1,installed,2020-06-06T00:00:00.000Z,Tellus rail 4 slot 9,65.05862,25.46645,jeremias
A81758FFFE030FA6,Elsys ERS CO2,1,installed,2020-06-06T00:00:00.000Z,Tellus Brisk,65.05855,25.46626,jeremias
A81758FFFE031076,Elsys ERS CO2,1,installed,2020-06-06T00:00:00.000Z,Tellus rail 7 slot 2,65.05876,25.46625,jeremias
A81758FFFE046506,Elsys ERS Sound,1,installed,2020-06-06T00:00:00.000Z,Tellus rail 13 slot 5,65.05871,25.46598,jeremias
A81758FFFE031096,Elsys ERS CO2,1,installed,2020-06-06T00:00:00.000Z,Tellus rail 19 slot 13,65.05854,25.46568,jeremias
A81758FFFE0463BA,Elsys ERS Sound,1,installed,2020-06-06T00:00:00.000Z,Tellus rail 23 slot 11,65.05858,25.46546,jeremias
A81758FFFE030F4F,Elsys ERS CO2,1,installed,2020-06-06T00:00:00.000Z,Tellus rail 28 slot 7,65.05867,25.46523,jeremias
A81758FFFE031023,Elsys ERS CO2,1,installed,2020-06-06T00:00:00.000Z,Tellus rail 20 slot 2,65.05877,25.46562,jeremias
A81758FFFE030D4E,Elsys ERS CO2,1,installed,2020-06-06T00:00:00.000Z,Tellus Galaxy,65.05882,25.46548,jeremias
A81758FFFE031067,Elsys ERS CO2,1,installed,2020-06-06T00:00:00.000Z,Tellus rail 28 slot 4,65.05872,25.46520,jeremias
A81758FFFE030F8D,Elsys ERS CO2,1,installed,2020-06-06T00:00:00.000Z,Tellus rail 21 slot 8,65.05865,25.46560,jeremias
A81758FFFE030FC3,Elsys ERS CO2,1,installed,2020-06-06T00:00:00.000Z,Agora ceiling in front of safety boxes,65.05877,25.46786,jeremias
A81758FFFE031002,Elsys ERS CO2,1,installed,2020-06-06T00:00:00.000Z,Agora medialounge ceiling,65.05866,25.46746,jeremias
A81758FFFE030F7C,Elsys ERS CO2,2,installed,2020-06-06T00:00:00.000Z,Coffee room above Agora,65.05871,25.46804,jeremias
A81758FFFE04646A,Elsys ERS Sound,1,installed,2020-06-06T00:00:00.000Z,L6 above row 13,65.05991,25.46633,jeremias
A81758FFFE046465,Elsys ERS Sound,1,installed,2020-06-06T00:00:00.000Z,"Hallway, white pillar next to windows",65.05751,25.46781,jeremias
A81758FFFE031055,Elsys ERS CO2,1,installed,2020-06-06T00:00:00.000Z,L2 next to lower level exit,65.05920,25.46606,jeremias
A81758FFFE031000,Elsys ERS CO2,1,installed,2020-06-06T00:00:00.000Z,White pillar on hallway leading to OAMK side of campus,65.06030,25.46663,jeremias
A81758FFFE046532,Elsys ERS Sound,2,installed,2020-06-06T00:00:00.000Z,Attached to 2nd floor safety fence,65.05890,25.46798,jeremias
A81758FFFE046530,Elsys ERS Sound,1,installed,2020-06-06T00:00:00.000Z,Fablab next to laser cutter,65.05895,25.46782,jeremias
A81758FFFE046F2A,Elsys ELT-2 with soil moisture,1,installed,2020-06-06T00:00:00.000Z,"JULIA D4/D5, next to pond",65.06345,25.46497,jeremias
A81758FFFE044881,Elsys ELT-2 with soil moisture,1,installed,2020-06-06T00:00:00.000Z,ROMEO A6,65.06339,25.46562,jeremias
A81758FFFE041FEC,Elsys ELT-2 with soil moisture,1,installed,2020-06-06T00:00:00.000Z,ROMEO A15,65.06335,25.46547,jeremias
A81758FFFE030F7A,Elsys ERS CO2,4,installed,2020-06-06T00:00:00.000Z,Next to TS415,65.05805,25.46973,jeremias
A81758FFFE030FDC,Elsys ERS CO2,4,installed,2020-06-06T00:00:00.000Z,Next to TS479,65.05772,25.46836,jeremias
